Assay Type,Target Name,pEC50,MW,LogP,H_Donors,H_Acceptors,TPSA,Ring_Count,Rotatable_Bonds
B,Dopamine D1 receptor,7.383419469914114,457.52600000000024,4.9649000000000045,0.0,6.0,65.07000000000001,5.0,4.0
B,Dopamine D1 receptor,8.073143291050307,355.43400000000014,3.4041000000000023,0.0,5.0,40.160000000000004,4.0,6.0
B,Dopamine D1 receptor,5.724919101543142,295.382,3.630100000000003,2.0,3.0,43.7,4.0,2.0
B,Dopamine D1 receptor,5.259953275948506,379.4560000000002,4.069500000000003,0.0,5.0,55.839999999999996,4.0,4.0
B,Dopamine D1 receptor,5.710188160882378,307.3930000000001,3.947600000000003,0.0,3.0,21.700000000000003,5.0,2.0
F,Dopamine D1 receptor,8.400007822415901,267.328,2.8499000000000025,2.0,3.0,43.7,4.0,0.0
F,Dopamine D1 receptor,6.620005959834258,374.2780000000002,4.218400000000004,0.0,3.0,21.700000000000003,4.0,2.0
F,Dopamine D1 receptor,5.0,374.2780000000002,4.218400000000004,0.0,3.0,21.700000000000003,4.0,2.0
F,Dopamine D1 receptor,6.819988880942282,374.2780000000002,4.2184000000000035,0.0,3.0,21.700000000000003,4.0,2.0
F,Dopamine D1 receptor,6.409994580348671,374.2780000000002,4.2184000000000035,0.0,3.0,21.700000000000003,4.0,2.0
F,Dopamine D1 receptor,5.0,323.4360000000001,4.0183000000000035,0.0,3.0,21.700000000000003,4.0,3.0
F,Dopamine D1 receptor,6.299997602857746,323.4360000000001,4.0183000000000035,0.0,3.0,21.700000000000003,4.0,3.0
F,Dopamine D1 receptor,7.059981844992337,309.40900000000005,3.7643200000000023,0.0,3.0,21.700000000000003,4.0,2.0
F,Dopamine D1 receptor,6.450004148469349,430.29800000000023,4.051800000000003,0.0,5.0,55.84,4.0,2.0
F,Dopamine D1 receptor,6.710009933945681,385.8470000000002,3.942700000000002,0.0,5.0,55.84,4.0,2.0
F,Dopamine D1 receptor,5.809999051930338,365.4290000000002,3.5977200000000025,0.0,5.0,55.84,4.0,2.0
F,Dopamine D1 receptor,5.809999051930338,379.4560000000002,3.851700000000003,0.0,5.0,55.84,4.0,3.0
F,Dopamine D1 receptor,6.020001176026261,393.4830000000002,4.412700000000004,0.0,5.0,55.84,4.0,3.0
F,Dopamine D1 receptor,6.180002266489224,457.52600000000024,4.9649000000000045,0.0,6.0,65.07000000000001,5.0,4.0
F,Dopamine D1 receptor,7.689944262249108,351.40200000000016,3.2893000000000017,0.0,5.0,55.84,4.0,2.0
F,Dopamine D1 receptor,7.0,279.339,3.1674000000000015,0.0,3.0,21.700000000000003,5.0,0.0
F,Dopamine D1 receptor,5.0,355.43400000000014,3.4041000000000023,0.0,5.0,40.160000000000004,4.0,6.0
F,Dopamine D1 receptor,8.96018944585165,295.382,3.630100000000003,2.0,3.0,43.7,4.0,2.0
F,Dopamine D1 receptor,7.50003813440381,379.4560000000002,4.069500000000003,0.0,5.0,55.839999999999996,4.0,4.0
F,Dopamine D1 receptor,6.139997578098902,307.3930000000001,3.947600000000003,0.0,3.0,21.700000000000003,5.0,2.0
F,Dopamine D1 receptor,8.423658649794207,267.328,2.8499000000000025,2.0,3.0,43.7,4.0,0.0
F,Dopamine D1 receptor,6.621238824683627,374.2780000000002,4.218400000000004,0.0,3.0,21.700000000000003,4.0,2.0
F,Dopamine D1 receptor,6.823330067331851,374.2780000000002,4.2184000000000035,0.0,3.0,21.700000000000003,4.0,2.0
F,Dopamine D1 receptor,6.413525221428603,374.2780000000002,4.2184000000000035,0.0,3.0,21.700000000000003,4.0,2.0
F,Dopamine D1 receptor,6.296622631487651,323.4360000000001,4.0183000000000035,0.0,3.0,21.700000000000003,4.0,3.0
F,Dopamine D1 receptor,7.058289851058354,309.40900000000005,3.7643200000000023,0.0,3.0,21.700000000000003,4.0,2.0
F,Dopamine D1 receptor,6.47638358094563,430.29800000000023,4.051800000000003,0.0,5.0,55.84,4.0,2.0
F,Dopamine D1 receptor,6.7115271994002175,385.8470000000002,3.942700000000002,0.0,5.0,55.84,4.0,2.0
F,Dopamine D1 receptor,5.808269606637143,365.4290000000002,3.5977200000000025,0.0,5.0,55.84,4.0,2.0
F,Dopamine D1 receptor,5.810229043653126,379.4560000000002,3.851700000000003,0.0,5.0,55.84,4.0,3.0
F,Dopamine D1 receptor,6.021636852916117,393.4830000000002,4.412700000000004,0.0,5.0,55.84,4.0,3.0
F,Dopamine D1 receptor,6.174508970120569,457.52600000000024,4.9649000000000045,0.0,6.0,65.07000000000001,5.0,4.0
F,Dopamine D1 receptor,7.690369832574102,351.40200000000016,3.2893000000000017,0.0,5.0,55.84,4.0,2.0
F,Dopamine D1 receptor,6.950007143079858,279.339,3.1674000000000015,0.0,3.0,21.700000000000003,5.0,0.0
F,Dopamine D1 receptor,8.958607314841775,295.382,3.630100000000003,2.0,3.0,43.7,4.0,2.0
F,Dopamine D1 receptor,7.498940737782249,379.4560000000002,4.069500000000003,0.0,5.0,55.839999999999996,4.0,4.0
F,Dopamine D1 receptor,6.14417809459397,307.3930000000001,3.947600000000003,0.0,3.0,21.700000000000003,5.0,2.0
